HD142, Phoenix,  5.70, 84, G1V, 1.101, 0.862, 6176, 1
WASP-44, Cetus,  12.87, 1157, G8V, 0.951, 0.927, 5409, 1
WASP-32, Pisces,  11.26, 579, G0V, 1.103, 1.111, 6075, 1
GJ3021, Hydrus,  6.59, 57, G6V, 0.897, 0.901, 5539, 1
WASP-26, Cetus,  11.30, 820, G0V, 1.119, 1.337, 5951, 1
HD1461, Cetus,  6.46, 76, G0V, 1.078, 1.095, 5765, 3
HD1502, Pisces,  8.52, 519, K0III, 1.612, 4.452, 5049, 1
WASP-1, Andromeda,  13.44, 3366, F7V, 1.237, 1.382, 6180, 1
WASP-45, Sculptor,  11.80, 533, K2V, 0.909, 0.945, 5143, 1
HD1690, Cetus,  9.17, 1013, K6III, 1.093, 16.739, 4394, 1
HD2039, Phoenix,  9.01, 334, G0IV-V, 0.981, 1.207, 5984, 1
HIP2247, Cetus,  9.63, 116, K4Vk, 0.743, 0.688, 4714, 1
HD2638, Cetus,  9.83, 163, G5V, 0.933, 1.063, 5684, 1
HAT-P-19, Andromeda,  12.90, 703, K1V, 0.842, 0.820, 4990, 1
HAT-P-16, Andromeda,  10.79, 766, F8V, 1.218, 1.237, 6158, 1
54Piscium, Pisces,  5.80, 36, K0V, 0.789, 0.869, 5140, 1
HD4113, Sculptor,  7.91, 144, G5V, 0.985, 1.033, 5676, 1
HD4208, Sculptor,  7.79, 106, G5V, 0.928, 0.854, 5571, 1
HD4308, Tucana,  6.54, 72, G5V, 0.833, 0.916, 5597, 1
HD4203, Pisces,  8.69, 252, G5IV, 1.063, 1.334, 5701, 1
HD4313, Pisces,  7.82, 447, G5D, 1.719, 4.873, 5035, 1
HD5319, Cetus,  8.06, 373, K0III, 1.564, 3.255, 5052, 1
HD5388, Phoenix,  6.82, 175, F6V, 1.211, 1.910, 6297, 1
HD6434, Phoenix,  7.72, 135, G3VI, 0.990, 0.569, 5714, 1
HIP5158, Cetus,  10.21, 134, K5V, 0.778, 0.782, 4711, 1
HD6718, Cetus,  8.45, 179, G0V, 0.964, 1.276, 5871, 1
HD7199, Tucana,  8.06, 115, G9.3V, 0.887, 0.957, 5386, 1
HD7449, Cetus,  7.50, 127, F8V, 1.050, 1.009, 6024, 2
HD7924, Cassiopeia,  7.18, 55, K0V, 0.832, 0.832, 5177, 1
HD8535, Phoenix,  7.72, 171, G0V, 1.135, 1.473, 5835, 1
HD8574, Pisces,  7.11, 145, F8V, 1.044, 1.369, 5942, 1
HD9578, Sculptor,  8.20, 187, G1V, 1.120, 1.096, 5768, 1
HD9446, Triangulum,  8.35, 171, G5V, 1.003, 0.997, 5793, 2
UpsilonAndromedae, Andromeda,  4.09, 44, F8V, 1.010, 1.699, 6107, 4
WASP-18, Phoenix,  9.30, 324, F9V, 1.281, 1.234, 6351, 1
HD10180, Hydrus,  7.33, 127, G1V, 1.055, 1.085, 5911, 7
HD10647, Eridanus,  5.52, 57, F8V, 1.069, 1.060, 6039, 1
WASP-56, Triangulum,  11.42, 996, G0V, 1.183, 1.133, 6153, 1
109Piscium, Pisces,  6.29, 106, G5IV, 1.150, 1.722, 5641, 1
HD11506, Cetus,  7.54, 169, G0V, 1.191, 1.376, 6058, 2
Eta2Hydri, Hydrus,  4.70, 219, G8.5III, 1.910, 12.997, 4975, 1
HD11964, Cetus,  6.42, 107, G5IV, 1.125, 0.966, 5522, 2
WASP-41, Perseus,  11.60, 579, G8V, 0.952, 1.008, 5437, 1
HAT-P-32, Andromeda,  11.29, 1043, F9.9V, 1.176, 1.387, 6001, 1
HD12661, Aries,  7.44, 114, G6V, 1.068, 1.116, 5742, 2
AlphaArietis, Aries,  2.00, 66, K2III, 1.498, 13.911, 4553, 1
Gliese86, Eridanus,  6.17, 35, K1V, 0.801, 0.855, 5350, 1
HD13808, Eridanus,  8.38, 93, K2V, 0.823, 0.836, 4871, 2
HD13931, Andromeda,  7.60, 144, G0V, 1.025, 1.231, 5829, 1
