Category,Outbreak,Location,Lat,Long,Date,Cases,Fatalities,Impact Scale,Source Citation,Source
Measles,Measles,India (Lucknow),26.846511,80.946683,7/2011,3,1,2nd,"MSN News ""Child dies after being administered measles vaccine"" July 22 2011.",http://news.in.msn.com/national/article.aspx?cp-documentid5309287
Measles,Measles,Philippines (Davao City),7.064444,125.607778,1/2011,30,3,2nd,"Howard Caroline. ""Measles leptospirosis cases in Philippines rising."" abc-cbnNEWS.com November 11 2010.",http://www.abs-cbnnews.com/nation/11/11/10/measles-leptospirosis-cases-philippines-rising
Measles,Measles,Australia,-22.73591,140.018765,1/2011,3,0,2nd,Notes from the Field : Multiple Cases of Measles After Exposure During Air Travel --- Australia and New Zealand January 2011 . Centers for Disease Control and Prevention.,http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6025a4.htm?s_cidmm6025a4_e&sourcegovdelivery
Measles,Measles,Australia (Adelaide),-37.96443,145.05598,2/2012,2,0,2nd,"Seven News Adelaide. ""Alert issued over 2nd measles case."" February 8 2012.",http://au.news.yahoo.com/latest/a/-/latest/12847286/alert-issued-over-second-measles-case/
Measles,Measles,Australia (Queensland),-24.917574,145.902796,9/2010,2,0,2nd,"Bedo Stephanie. ""Coast measles outbreak sparks concern."" Goldcoast (Gold Coast) March 21 2011.",http://www.goldcoast.com.au/article/2011/03/21/300795_gold-coast-news.html
Measles,Measles,Australia (South Australia),-30.000232,136.209155,8/2011,2,0,2nd,"Pengelley Jill. ""New measles cases prompt warning."" AdelaideNow (Queensland) August 11 2011.",http://www.adelaidenow.com.au/news/south-australia/new-measles-cases-prompt-warning/story-e6frea83-1226113247592
Measles,Measles,Australia (Victoria),-37.471308,141.785153,1/2011-3/2011,16,0,2nd,"Van Den Berg Lucie . ""Measles outbreak sparks vaccination warning from health authorities."" Herald Sun (Melbourne) February 17 2011.",http://www.heraldsun.com.au/news/victoria/measles-outbreak-sparks-vaccination-warning-from-health-authorities/story-e6frf7kx-1226007427425
Measles,Measles,Australia (Western Australia),-27.672817,121.62831,6/2010,2,0,2nd,"ABC News (Queensland) ""Alert issued over possible measles infection."" June 7 2010.",http://www.abc.net.au/news/stories/2010/06/07/2920169.htm
Measles,Measles,Austria (Styria),47.264901,14.89393,3/2009,37,0,2nd,"Kasper S. ""Measles outbreak in Styria Austria March-May 2009."" Eurosurveillance 14 no. 40 (2009).",http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId19347
Measles,Measles,Canada (Alberta),53.933271,-116.576504,5/2010,4,0,2nd,"Prezekop Glory. ""Four more cases of measles in the Calgary area."" 660 News (Calgary) May 14 2010.",http://www.660news.com/news/local/article/55260--four-more-cases-of-measles-in-the-calgary-area
