ID;Cim;Ajanlatkérõ;Nyertes;Ár;Konzorciumi tagokra számolt ár;CRI;URL
175;Budapest Fõváros VII. kerület Erzsébetváros Önkormányzata 1 éves idõszakra vonatkozó számítástechnikai eszközök beszerzése és szállítása;Budapest Fõváros VII. Ker. Erzsébetváros Önkormányzata;ACHRON INFORMATIKA Számítástechnikai Szolgáltató és Kereskedelmi Korlátolt Felelõsségû Társaság;13040186;13040186;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16838_2011
190;Budapest Fõváros IV. kerület Újpest 2011. évi szoftver licenszek beszerzése - eredmény;Budapest Fõváros IV.Kerület Újpest Önkormányzat Polgármesteri Hivatala;Nádor Rendszerház Kft.;20593600;20593600;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16861_2011
265;Eljárás eredményérõl szóló tájékoztató (Hangszerek és hangszer-tartozékok);Budapest Fõváros X. Kerület Kõbányai Önkormányzat;FON-TRADE MUSIC Hangszer-kereskedelmi és Zenei Szolgáltató Korlátolt Felelõsségû Társaság;1312000;1312000;0.36;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16669_2011
266;Eljárás eredményérõl szóló tájékoztató (Hangszerek és hangszer-tartozékok);Budapest Fõváros X. Kerület Kõbányai Önkormányzat;AND & AND HANGSZERJAVITO KFT;220000;220000;0.35;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16669_2011
301;Ferencvárosi Önkormányzat intézményeiben gépészeti munkák kivitelezése;Budapest Fõváros Ix. Kerület Ferencváros Önkormányzata;HALASTÓ CAMPING Korlátolt Felelõsségû Társaság;2745678;2745678;0.41;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16799_2011
302;Ferencvárosi Önkormányzat intézményeiben gépészeti munkák kivitelezése;Budapest Fõváros Ix. Kerület Ferencváros Önkormányzata;BRICK-TRADE Építõipari és Szolgáltató Korlátolt Felelõsségû Társaság;6478527;6478527;0.35;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16799_2011
303;Ferencvárosi Önkormányzat intézményeiben gépészeti munkák kivitelezése;Budapest Fõváros Ix. Kerület Ferencváros Önkormányzata;PRECIZ Épületgépészeti, Építészeti Szolgáltató Kft.;4799078;4799078;0.35;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16799_2011
309;Földutak szilárdburkolása.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;PUHI-TÁRNOK UT ÉS HIDÉPITÖ KFT;66033000;66033000;0.19;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16814_2011
310;Szemét szállítási és takarítási munkák elvégzése.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;GARDEN-SYSTEM Kertépítõ és Szolgáltató Korlátolt Felelõsségû Társaság;7887000;7887000;0.15;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16815_2011
370;Kincsesbányai Ifjúsági Tábor étkeztetése;Budapest Fõváros Ix. Kerület Ferencváros Önkormányzata;Bányató Vendéglõ Kereskedelmi és Szolgáltató Korlátolt Felelõsségû Társaság;24057296;24057296;0.36;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16352_2011
440;"Budapesti kerékpárforgalmi hálózat fejlesztése - XVII. Pesti úti kerékpárút c. projektek kivitelezési munkái és a hozzá kapcsolódó feladatok elvégzése" / Tájékoztató az eljárás eredményérõl;Budapest Fõváros Önkormányzata;Aszfaltpálya Építõ Korlátolt Felelõsségû Társaság;162614066;162614066;0.16;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16563_2011
446;Budapest, IX. kerületben TÁMOP-3.1.3-10/1-2010-0002 jelû, " Ferencváros a korszerû természettudományos oktatásért" c. projekt keretében labor és konferenciaterem kialakítása a laborberendezéssel együtt.- eredménytájékoztató;Budapest Fõváros Ix. Kerület Ferencváros Önkormányzata;RENOVIT ÉPITÖIPARI KFT;38892370;38892370;0.19;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16577_2011
462;Épülettakarítási szolgáltatás beszerzése - 1111 Budapest, Budafoki út 59. - eredmény;Budapest Fõváros Kormányhivatala;TOP CLEANING Kereskedelmi és Szolgáltató Kft.;755370;755370;0.11;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13185_2011
463;"Épülettakarítási szolgáltatás beszerzése - 2700 Cegléd, Rákóczi u. 14" - eredmény;Budapest Fõváros Kormányhivatala;RÓZSAÉP Kereskedelmi és Szolgáltató Korlátolt Felelõsségû Társaság;233750;233750;0.11;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13313_2011
578;Budapest X. kerület, Újköztemetõ fõbejárata elõtti körforgalom kiviteli terveinek elkészítése;Budapest Fõváros Önkormányzata;INNOBER WAVE Építõipari és Szolgáltató Kft.;3575000;3575000;0.06;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16157_2011
586;Budapest XVI. kerületben egyes önkormányzati épületek felújítási, javítási munkái;Budapest Fõváros XVI.Kerület Önkormányzat;KELET-ABLAK Mûanyag Nyílászáró-gyártó és Forgalmazó Korlátolt Felelõsségû Társaság;6592254;6592254;0.06;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16193_2011
587;Budapest XVI. kerületben egyes önkormányzati épületek felújítási, javítási munkái;Budapest Fõváros XVI.Kerület Önkormányzat;Nagy Imre és Építész Társai Mérnöki Iroda Korlátolt Felelõsségû Társaság;4369646;4369646;0.06;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16193_2011
588;Budapest XVI. kerületben egyes önkormányzati épületek felújítási, javítási munkái;Budapest Fõváros XVI.Kerület Önkormányzat;ALACORMA BAU ÉPÍTÕ, BERUHÁZÓ ÉS KERESKEDELMI KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG;896382;896382;0.06;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16193_2011
589;Budapest XVI. kerületben egyes önkormányzati épületek felújítási, javítási munkái;Budapest Fõváros XVI.Kerület Önkormányzat;VÁRÉPKER ÉPITÖIPARI, KERESKEDELMI ÉS SZOLGÁLTATO KFT;0;0;0.06;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_16193_2011
668;Épülettakarítási szolgáltatás beszerzése - 1149 Budapest, Bosnyák tér 5. - eredmény;Budapest Fõváros Kormányhivatala;4 Clean Kereskedelmi és Szolgáltató Korlátolt Felelõsségû Társaság;1658000;1658000;0.11;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13181_2011
759;HPV vírus elleni védõoltás beszerzése-tájékoztatás az eljárás eredményérõl;Budapest Fõváros XIII. Kerületi Önkormányzat;HUNGAROPHARMA Gyógyszerkereskedelmi Zártkörûen Mûködõ Részvénytársaság;25788900;25788900;0.32;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_12437_2011
761;Három ajánlattevõ közvetlen meghívásával induló eljárás eredményérõl szóló tájékoztató a Módszertani Gyermekvédelmi Szakszolgálat felújítására vonatkozóan.;Budapest Fõváros Önkormányzatának Módszertani Gyermekvédelmi Szakszolgálata;KÉT ÉS FÉL COLL KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG;8749884;8749884;-1;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_12981_2011
762;Három ajánlattevõ közvetlen meghívásával induló eljárás eredményérõl szóló tájékoztató a Módszertani Gyermekvédelmi Szakszolgálat felújítására vonatkozóan.;Budapest Fõváros Önkormányzatának Módszertani Gyermekvédelmi Szakszolgálata;KOLLARIK SZOLGÁLTATO KFT;1187168;1187168;-1;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_12981_2011
763;Három ajánlattevõ közvetlen meghívásával induló eljárás eredményérõl szóló tájékoztató a Módszertani Gyermekvédelmi Szakszolgálat felújítására vonatkozóan.;Budapest Fõváros Önkormányzatának Módszertani Gyermekvédelmi Szakszolgálata;KOLLARIK SZOLGÁLTATO KFT;7159918;7159918;-1;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_12981_2011
